target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,669394,825035,694297.0,38,Jake Burger,Texas Rangers,Arizona Diamondbacks,Brandon Pfaadt,7,Chase Field,213.0,8.8,Excellent,9.6,7.0,4.4,7.0,10.0,4.8,4.0,103.64,5.4059277,240.0,9.7,9.8,6.8,8.0,Ballpark + Recent power,True,0.6951388888888889,0.6951388888888889
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665019,823657,682982.0,39,Kody Clemens,Minnesota Twins,Cleveland Guardians,Daniel Espino,5,Target Field,113.0,8.7,Excellent,7.1,9.3,5.4,9.3,6.1,6.8,6.0,73.94,12.9245168,307.0,9.3,9.6,9.7,9.2,Pitch-type matchup + Recent power,True,0.6930555555555555,0.6930555555555555
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,673237,822927,693855.0,40,Yainer Diaz,Houston Astros,Tampa Bay Rays,Ian Seymour,5,Tropicana Field,107.0,8.7,Excellent,5.1,8.0,9.9,8.0,5.8,5.8,6.0,86.53999999999999,2.485484,333.0,3.4,8.4,9.8,8.5,Pitcher vulnerability + Pitch-type matchup,True,0.6904166666666666,0.6904166666666666
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,606192,823819,663969.0,41,Teoscar Hernández,Los Angeles Dodgers,Miami Marlins,Tyler Phillips,6,loanDepot park,135.0,8.7,Excellent,8.3,2.7,8.9,2.7,7.1,6.6,5.0,84.56,8.077823,93.0,7.6,9.6,5.8,7.7,Pitcher vulnerability + Hitter skill,True,0.6895833333333333,0.6895833333333333
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,681508,824712,677976.0,42,Mickey Gasper,Boston Red Sox,Kansas City Royals,Randy Dobnak,2,Fenway Park,92.0,8.6,Excellent,8.9,8.6,4.7,8.6,5.1,6.7,9.0,73.75999999999999,9.6312505,77.0,6.4,7.7,4.7,8.2,Lineup context + Hitter skill,True,0.6874999999999999,0.6874999999999999
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,691777,824955,693433.0,43,Max Muncy,Athletics,Seattle Mariners,Bryan Woo,5,Sutter Health Park,100.0,8.6,Excellent,6.4,8.4,7.9,8.4,5.5,6.8,6.0,84.02,15.3478637,233.0,9.5,7.2,6.4,5.9,Recent power + Pitch-type matchup,True,0.6841666666666668,0.6841666666666668
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,663728,824955,695611.0,44,Cal Raleigh,Seattle Mariners,Athletics,Gage Jump,4,Sutter Health Park,100.0,8.6,Excellent,8.0,7.7,5.7,7.7,5.5,6.8,7.0,84.02,15.3478637,233.0,3.4,9.8,8.2,9.7,Hitter skill + Pitch-type matchup,True,0.6790277777777779,0.6790277777777779
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,592518,823170,702885.0,45,Manny Machado,San Diego Padres,San Francisco Giants,Cesar Perdomo,3,Oracle Park,139.0,8.5,Strong,7.3,9.1,6.0,9.1,7.3,6.2,8.0,67.64,18.9518155,287.0,9.2,6.3,6.3,4.0,Recent power + Pitch-type matchup,True,0.6775,0.6775
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682626,823496,543037.0,46,Francisco Alvarez,New York Mets,New York Yankees,Gerrit Cole,9,Yankee Stadium,117.0,8.5,Strong,7.4,7.4,8.2,7.4,6.3,6.7,2.0,80.24000000000001,10.1283473,162.0,9.2,5.5,2.8,7.7,Recent power + Pitcher vulnerability,True,0.675,0.675
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,663886,823737,,47,Tyler Stephenson,Cincinnati Reds,Milwaukee Brewers,TBD,5,American Family Field,88.0,8.5,Strong,9.0,5.5,5.5,5.5,5.0,6.7,6.0,82.4,9.8797989,288.0,7.6,10.0,9.9,6.4,Hitter skill + Recent power,True,0.6729166666666667,0.6729166666666667
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,666018,822927,663567.0,48,Jonathan Aranda,Tampa Bay Rays,Houston Astros,Peter Lambert,2,Tropicana Field,107.0,8.4,Strong,8.2,6.6,6.6,6.6,5.8,5.8,9.0,86.53999999999999,2.485484,333.0,6.8,4.3,6.2,6.4,Lineup context + Hitter skill,True,0.6687499999999998,0.6687499999999998
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,572233,822927,693855.0,49,Christian Walker,Houston Astros,Tampa Bay Rays,Ian Seymour,6,Tropicana Field,107.0,8.4,Strong,7.6,2.8,9.9,2.8,5.8,5.8,5.0,86.53999999999999,2.485484,333.0,7.2,5.2,6.9,7.5,Pitcher vulnerability + Hitter skill,True,0.6677777777777777,0.6677777777777777
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,660670,824870,,50,Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,TBD,2,Truist Park,100.0,8.4,Strong,8.7,5.5,5.5,5.5,5.5,6.5,9.0,78.98,3.4175405,157.0,7.2,8.0,8.1,7.3,Lineup context + Hitter skill,True,0.6675,0.6675
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,672515,825035,677958.0,51,Gabriel Moreno,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,3,Chase Field,213.0,8.3,Strong,6.2,4.8,9.2,4.8,10.0,4.8,8.0,103.64,5.4059277,240.0,3.4,7.8,5.4,7.4,Ballpark + Pitcher vulnerability,True,0.6577777777777778,0.6577777777777778
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,681715,823819,607192.0,52,Heriberto Hernández,Miami Marlins,Los Angeles Dodgers,Tyler Glasnow,1,loanDepot park,135.0,8.3,Strong,9.4,8.9,1.3,8.9,7.1,6.6,10.0,84.56,8.077823,93.0,5.9,9.5,7.0,9.6,Lineup context + Hitter skill,True,0.6516666666666666,0.6516666666666666
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,664761,824870,641816.0,53,Alec Bohm,Philadelphia Phillies,Atlanta Braves,Tyler Mahle,5,Truist Park,100.0,8.3,Strong,8.1,9.6,4.1,9.6,5.5,6.5,6.0,78.98,3.4175405,157.0,3.4,8.6,8.9,7.4,Pitch-type matchup + Hitter skill,True,0.6506944444444444,0.6506944444444444
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,701350,824712,677976.0,54,Roman Anthony,Boston Red Sox,Kansas City Royals,Randy Dobnak,1,Fenway Park,92.0,8.2,Strong,7.5,7.4,4.7,7.4,5.1,6.7,10.0,73.75999999999999,9.6312505,77.0,5.9,9.7,7.6,9.5,Lineup context + Hitter skill,True,0.6501388888888889,0.6501388888888889
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,672386,822768,680694.0,55,Alejandro Kirk,Toronto Blue Jays,Baltimore Orioles,Kyle Bradish,4,Rogers Centre,69.0,8.2,Strong,7.9,3.7,7.6,3.7,4.1,6.6,7.0,77.54,6.027298699999999,135.0,6.4,5.3,9.0,9.1,Hitter skill + Pitcher vulnerability,True,0.6475,0.6475
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,571970,823819,663969.0,56,Max Muncy,Los Angeles Dodgers,Miami Marlins,Tyler Phillips,2,loanDepot park,135.0,8.2,Strong,6.7,3.0,8.9,3.0,7.1,6.6,9.0,84.56,8.077823,93.0,6.8,5.9,6.6,6.7,Lineup context + Pitcher vulnerability,True,0.6438888888888887,0.6438888888888887
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,553993,823737,,57,Eugenio Suárez,Cincinnati Reds,Milwaukee Brewers,TBD,6,American Family Field,88.0,8.1,Strong,9.3,5.5,5.5,5.5,5.0,6.7,5.0,82.4,9.8797989,288.0,9.2,5.7,3.7,6.9,Hitter skill + Recent power,True,0.6423611111111112,0.6423611111111112
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,690993,824224,685299.0,58,Colt Keith,Detroit Tigers,Colorado Rockies,Tanner Gordon,3,Comerica Park,100.0,8.1,Strong,3.5,7.7,9.5,7.7,5.5,6.7,8.0,80.6,8.7613311,220.0,8.6,7.0,8.6,7.0,Pitcher vulnerability + Recent power,True,0.6399999999999999,0.6399999999999999
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,608070,823657,687570.0,59,José Ramírez,Cleveland Guardians,Minnesota Twins,Connor Prielipp,3,Target Field,113.0,8.1,Strong,8.6,5.2,7.0,5.2,6.1,6.8,8.0,73.94,12.9245168,307.0,3.4,1.3,4.7,6.2,Hitter skill + Lineup context,True,0.6377777777777777,0.6377777777777777
