model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
47,Luis García Jr.,New York Yankees,San Diego Padres,Walker Buehler,3,Petco Park,105,8.6,Excellent,5.2,9.8,7.1,9.8,5.7,5.5,8.0,,,,3.8,7.5,7.0,7.1,Pitch-type matchup + Lineup context,False,74,0.6505555555555556,0.6505555555555556,47
48,Kody Clemens,Minnesota Twins,Chicago White Sox,Erick Fedde,3,Rate Field,69,8.5,Strong,6.0,8.0,5.4,8.0,4.1,5.5,8.0,,,,9.1,9.8,9.4,9.3,Recent power + Pitch-type matchup,False,112,0.6491666666666668,0.6491666666666668,48
49,Lars Nootbaar,Arizona Diamondbacks,Houston Astros,Cristian Javier,5,Daikin Park,111,8.5,Strong,5.7,6.9,6.8,6.9,6.0,5.5,6.0,,,,9.7,9.3,8.2,7.8,Recent power + Pitch-type matchup,False,79,0.6475,0.6475,49
50,Jose Siri,Los Angeles Angels,Pittsburgh Pirates,Jared Jones,7,PNC Park,74,8.5,Strong,8.4,7.8,4.8,7.8,4.3,6.5,4.0,78.8,2.7340324000000003,289.0,3.8,9.7,8.7,7.8,Hitter skill + Pitch-type matchup,False,81,0.6463888888888889,0.6463888888888889,50
51,Chase DeLauter,Cleveland Guardians,Detroit Tigers,Andrew Sears,2,Progressive Field,60,8.4,Strong,7.4,6.0,5.9,6.0,3.7,6.6,9.0,77.36,6.8972181,300.0,3.8,9.1,9.8,9.5,Lineup context + Hitter skill,False,89,0.6422222222222222,0.6422222222222222,51
52,Pete Crow-Armstrong,Chicago Cubs,Miami Marlins,Janson Junk,1,loanDepot park,135,8.4,Strong,6.5,9.4,3.7,9.4,7.1,6.5,10.0,83.12,3.2311292000000003,112.0,9.8,8.8,7.3,8.3,Lineup context + Recent power,False,48,0.638888888888889,0.638888888888889,52
53,Julio Rodríguez,Seattle Mariners,Athletics,Kade Morris,3,T-Mobile Park,37,8.4,Strong,7.0,4.7,9.3,4.7,2.7,5.5,8.0,,,,3.8,7.8,4.8,4.8,Pitcher vulnerability + Lineup context,False,78,0.6369444444444444,0.6369444444444444,53
54,Henry Davis,Pittsburgh Pirates,Los Angeles Angels,Ryan Johnson,9,PNC Park,74,8.3,Strong,5.4,7.3,8.5,7.3,4.3,6.5,2.0,78.8,2.7340324000000003,289.0,3.8,4.7,7.8,9.3,Pitcher vulnerability + Pitch-type matchup,False,110,0.6363888888888889,0.6363888888888889,54
55,Trevor Larnach,Minnesota Twins,Chicago White Sox,Erick Fedde,6,Rate Field,69,8.3,Strong,6.4,9.5,5.4,9.5,4.1,5.5,5.0,,,,3.8,6.1,9.7,9.8,Pitch-type matchup + Hitter skill,False,118,0.6355555555555555,0.6355555555555555,55
56,Bryan Reynolds,Pittsburgh Pirates,Los Angeles Angels,Ryan Johnson,3,PNC Park,74,8.3,Strong,6.2,3.7,8.5,3.7,4.3,6.5,8.0,78.8,2.7340324000000003,289.0,3.8,9.0,8.8,8.7,Pitcher vulnerability + Lineup context,False,107,0.6313888888888889,0.6313888888888889,56
