model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
84,Graham Pauley,Miami Marlins,Los Angeles Dodgers,TBD,8,loanDepot park,135.0,7.2,Above average,7.4,5.5,5.5,5.5,7.1,6.6,3.0,75.38,7.0214923,207.0,8.5,6.0,5.8,5.2,Recent power + Hitter skill,True,57,0.5758333333333333,0.5758333333333333,84
85,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks,TBD,3,Chase Field,213.0,7.2,Above average,6.2,5.5,5.5,5.5,10.0,5.5,8.0,,,,6.8,6.2,7.4,7.8,Ballpark + Lineup context,True,88,0.5733333333333335,0.5733333333333335,85
86,Jakob Marsee,Miami Marlins,Los Angeles Dodgers,TBD,5,loanDepot park,135.0,7.2,Above average,8.0,5.5,5.5,5.5,7.1,6.6,6.0,75.38,7.0214923,207.0,3.6,3.9,4.9,8.1,Hitter skill + Ballpark,True,52,0.5730555555555555,0.5730555555555555,86
87,Tim Tawa,Arizona Diamondbacks,Texas Rangers,TBD,5,Chase Field,213.0,7.1,Above average,6.9,5.5,5.5,5.5,10.0,5.5,6.0,,,,8.1,8.0,5.9,3.6,Ballpark + Recent power,True,72,0.5727777777777778,0.5727777777777778,87
88,Lazaro Montes,Seattle Mariners,Athletics,Jeffrey Springs,8,Sutter Health Park,100.0,7.1,Above average,2.7,9.3,9.2,9.3,5.5,5.5,3.0,,,,9.5,4.6,1.0,1.6,Recent power + Pitch-type matchup,True,113,0.5727777777777777,0.5727777777777777,88
89,Mickey Gasper,Boston Red Sox,Kansas City Royals,Seth Lugo,2,Fenway Park,92.0,7.1,Above average,6.7,4.0,7.2,4.0,5.1,6.6,9.0,71.78,5.2195164,295.0,7.2,6.5,2.9,5.6,Lineup context + Pitcher vulnerability,True,87,0.5719444444444445,0.5719444444444445,89
90,Tristan Peters,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,8,Busch Stadium,70.0,7.0,Above average,2.9,7.9,7.9,7.9,4.2,5.5,3.0,,,,3.6,7.3,9.7,7.6,Pitcher vulnerability + Pitch-type matchup,True,193,0.5716666666666667,0.5716666666666667,90
91,Christian Encarnacion-Strand,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,4,Rogers Centre,69.0,7.0,Above average,4.0,9.6,5.5,9.6,4.1,5.9,7.0,66.74000000000001,4.7845567,101.0,3.6,9.8,6.5,7.3,Pitch-type matchup + Lineup context,True,165,0.5694444444444445,0.5694444444444445,91
92,Owen Caissie,Miami Marlins,Los Angeles Dodgers,TBD,7,loanDepot park,135.0,7.0,Above average,9.4,5.5,5.5,5.5,7.1,6.6,4.0,75.38,7.0214923,207.0,3.6,4.0,4.0,1.9,Hitter skill + Ballpark,True,34,0.5675,0.5675,92
93,Donovan Walton,Athletics,Seattle Mariners,George Kirby,7,Sutter Health Park,100.0,6.9,Above average,2.8,8.1,7.5,8.1,5.5,5.5,4.0,,,,8.4,6.8,6.6,6.3,Recent power + Pitch-type matchup,True,155,0.5663888888888888,0.5663888888888888,93
94,Brayan Rocchio,Cleveland Guardians,Minnesota Twins,Taj Bradley,9,Target Field,113.0,6.9,Above average,6.1,6.5,6.5,6.5,6.1,5.5,2.0,,,,9.9,3.5,5.6,4.2,Recent power + Pitcher vulnerability,True,89,0.5652777777777778,0.5652777777777778,94
95,Marcus Semien,New York Mets,New York Yankees,Carlos Rodón,6,Yankee Stadium,117.0,6.9,Above average,10.0,7.1,4.2,7.1,6.3,6.5,5.0,76.28,4.6602825,325.0,3.6,2.0,3.3,2.6,Hitter skill + Pitch-type matchup,True,33,0.5644444444444443,0.5644444444444443,95
96,Royce Lewis,Minnesota Twins,Cleveland Guardians,Parker Messick,7,Target Field,113.0,6.8,Above average,7.3,6.8,3.9,6.8,6.1,5.5,4.0,,,,3.6,9.8,8.8,6.9,Hitter skill + Pitch-type matchup,True,116,0.5633333333333334,0.5633333333333334,96
97,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,Dustin May,2,American Family Field,88.0,6.8,Above average,8.3,5.0,2.5,5.0,5.0,6.7,9.0,73.22,9.5069763,146.0,10.0,9.3,5.9,9.7,Recent power + Lineup context,True,105,0.5630555555555555,0.5630555555555555,97
98,Randy Arozarena,Seattle Mariners,Athletics,Jeffrey Springs,2,Sutter Health Park,100.0,6.8,Above average,3.4,6.9,9.2,6.9,5.5,5.5,9.0,,,,3.6,6.2,2.3,4.7,Pitcher vulnerability + Lineup context,True,128,0.5627777777777777,0.5627777777777777,98
99,Javier Sanoja,Miami Marlins,Los Angeles Dodgers,TBD,6,loanDepot park,135.0,6.7,Above average,6.4,5.5,5.5,5.5,7.1,6.6,5.0,75.38,7.0214923,207.0,7.7,2.8,9.1,7.2,Recent power + Ballpark,True,77,0.5608333333333333,0.5608333333333333,99
100,Luis Campusano,San Diego Padres,San Francisco Giants,Anthony Molina,6,Oracle Park,139.0,6.7,Above average,7.2,4.1,6.2,4.1,7.3,6.2,5.0,66.02,15.6585492,280.0,9.6,8.5,2.4,3.4,Recent power + Ballpark,True,62,0.5594444444444443,0.5594444444444443,100
101,Andrew Benintendi,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,4,Busch Stadium,70.0,6.7,Above average,3.2,5.3,7.9,5.3,4.2,5.5,7.0,,,,3.6,8.4,9.7,9.3,Pitcher vulnerability + Lineup context,True,202,0.5561111111111111,0.5561111111111111,101
102,Cody Bellinger,New York Yankees,New York Mets,Nolan McLean,2,Yankee Stadium,117.0,6.6,Above average,8.9,4.6,2.2,4.6,6.3,6.5,9.0,76.28,4.6602825,325.0,7.2,9.6,8.6,7.7,Lineup context + Hitter skill,True,82,0.5552777777777779,0.5552777777777779,102
103,Lourdes Gurriel,Arizona Diamondbacks,Texas Rangers,TBD,6,Chase Field,213.0,6.6,Above average,6.6,5.5,5.5,5.5,10.0,5.5,5.0,,,,3.6,3.8,7.5,9.2,Ballpark + Hitter skill,True,97,0.5533333333333333,0.5533333333333333,103
104,Drake Baldwin,Atlanta Braves,Philadelphia Phillies,Aaron Nola,1,Truist Park,100.0,6.6,Above average,4.1,3.7,8.2,3.7,5.5,6.7,10.0,81.14,9.4448392,176.0,7.2,5.9,6.3,7.0,Lineup context + Pitcher vulnerability,True,118,0.5522222222222223,0.5522222222222223,104
105,Dominic Canzone,Seattle Mariners,Athletics,Jeffrey Springs,3,Sutter Health Park,100.0,6.5,Solid,1.1,9.3,9.2,9.3,5.5,5.5,8.0,,,,3.6,7.2,3.5,4.1,Pitch-type matchup + Pitcher vulnerability,True,156,0.5516666666666667,0.5516666666666667,105
106,Danny Jansen,Texas Rangers,Arizona Diamondbacks,TBD,9,Chase Field,213.0,6.5,Solid,6.8,5.5,5.5,5.5,10.0,5.5,2.0,,,,8.8,9.1,3.9,2.5,Ballpark + Recent power,True,86,0.5516666666666666,0.5516666666666666,106
107,Mike Trout,Los Angeles Angels,Washington Nationals,Cade Cavalli,2,Nationals Park,105.0,6.5,Solid,7.9,3.0,6.9,3.0,5.7,6.5,9.0,78.25999999999999,3.728226,73.0,3.6,6.1,1.8,5.0,Lineup context + Hitter skill,True,73,0.5461111111111111,0.5461111111111111,107
108,Travis Bazzana,Cleveland Guardians,Minnesota Twins,Taj Bradley,5,Target Field,113.0,6.4,Solid,5.0,5.4,6.5,5.4,6.1,5.5,6.0,,,,9.7,5.3,7.7,4.2,Recent power + Pitcher vulnerability,True,112,0.5449999999999999,0.5449999999999999,108
109,José Ramírez,Cleveland Guardians,Minnesota Twins,Taj Bradley,3,Target Field,113.0,6.4,Solid,7.1,5.2,6.5,5.2,6.1,5.5,8.0,,,,3.6,1.4,4.6,6.4,Lineup context + Hitter skill,True,80,0.5444444444444445,0.5444444444444445,109
110,Pete Alonso,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,2,Rogers Centre,69.0,6.4,Solid,1.4,9.5,5.5,9.5,4.1,5.9,9.0,66.74000000000001,4.7845567,101.0,7.2,8.8,8.9,9.7,Pitch-type matchup + Lineup context,True,222,0.5419444444444446,0.5419444444444446,110
111,Nick Sogard,Boston Red Sox,Kansas City Royals,Seth Lugo,5,Fenway Park,92.0,6.3,Solid,5.9,3.8,7.2,3.8,5.1,6.6,6.0,71.78,5.2195164,295.0,7.2,5.2,3.1,7.1,Pitcher vulnerability + Recent power,True,121,0.5397222222222222,0.5397222222222222,111
112,Kaelen Culpepper,Minnesota Twins,Cleveland Guardians,Parker Messick,5,Target Field,113.0,6.3,Solid,6.2,8.6,3.9,8.6,6.1,5.5,6.0,,,,3.6,3.9,8.2,7.1,Pitch-type matchup + Hitter skill,True,119,0.5383333333333333,0.5383333333333333,112
113,Max Clark,Detroit Tigers,Colorado Rockies,Mason Adams,7,Comerica Park,100.0,6.3,Solid,4.0,4.6,9.9,4.6,5.5,6.6,4.0,73.94,6.2758471,96.0,3.6,1.4,7.1,2.8,Pitcher vulnerability + Weather,True,124,0.5377777777777778,0.5377777777777778,113
114,Isiah Kiner-Falefa,Boston Red Sox,Kansas City Royals,Seth Lugo,8,Fenway Park,92.0,6.2,Solid,8.2,2.6,7.2,2.6,5.1,6.6,3.0,71.78,5.2195164,295.0,8.1,2.9,3.7,1.6,Hitter skill + Recent power,True,84,0.5369444444444444,0.5369444444444444,114
115,Alejandro Kirk,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,4,Rogers Centre,69.0,6.2,Solid,6.8,5.7,3.5,5.7,4.1,5.9,7.0,66.74000000000001,4.7845567,101.0,6.5,7.5,7.5,9.5,Lineup context + Hitter skill,True,162,0.531388888888889,0.531388888888889,115
116,Jonny DeLuca,Tampa Bay Rays,Houston Astros,Miguel Ullola,4,Tropicana Field,107.0,6.2,Solid,3.0,7.4,9.5,7.4,5.8,6.5,7.0,81.5,2.8583066,141.0,3.6,1.4,1.7,2.2,Pitcher vulnerability + Pitch-type matchup,True,103,0.5275,0.5275,116
117,Brewer Hicklen,Atlanta Braves,Philadelphia Phillies,Aaron Nola,8,Truist Park,100.0,6.1,Solid,6.9,1.5,8.2,1.5,5.5,6.7,3.0,81.14,9.4448392,176.0,3.6,3.8,3.3,8.3,Pitcher vulnerability + Hitter skill,True,107,0.5266666666666667,0.5266666666666667,117
118,Braden Montgomery,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,6,Busch Stadium,70.0,6.1,Solid,5.1,3.5,7.9,3.5,4.2,5.5,5.0,,,,8.1,5.5,4.6,5.2,Recent power + Pitcher vulnerability,True,150,0.5261111111111111,0.5261111111111111,118
119,Ben Malgeri,Detroit Tigers,Colorado Rockies,Mason Adams,8,Comerica Park,100.0,6.1,Solid,2.5,5.1,9.9,5.1,5.5,6.6,3.0,73.94,6.2758471,96.0,3.6,4.5,4.2,5.9,Pitcher vulnerability + Weather,True,151,0.5213888888888889,0.5213888888888889,119
120,Joshua Báez,St. Louis Cardinals,Chicago White Sox,Anthony Kay,5,Busch Stadium,70.0,6.0,Solid,3.6,8.7,5.2,8.7,4.2,5.5,6.0,,,,8.1,3.7,6.4,7.9,Pitch-type matchup + Recent power,True,186,0.5208333333333333,0.5208333333333333,120
121,Jared Young,New York Mets,New York Yankees,Carlos Rodón,5,Yankee Stadium,117.0,6.0,Solid,9.8,3.2,4.2,3.2,6.3,6.5,6.0,76.28,4.6602825,325.0,3.6,2.5,6.8,4.6,Hitter skill + Weather,True,63,0.5191666666666667,0.5191666666666667,121
122,Jo Adell,Cleveland Guardians,Minnesota Twins,Taj Bradley,4,Target Field,113.0,6.0,Solid,4.9,5.3,6.5,5.3,6.1,5.5,7.0,,,,3.6,2.5,7.8,8.5,Lineup context + Pitcher vulnerability,True,134,0.5180555555555556,0.5180555555555556,122
123,Enrique Hernández,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,9,loanDepot park,135.0,5.9,Solid,9.7,3.1,4.9,3.1,7.1,6.6,2.0,75.38,7.0214923,207.0,3.6,3.5,3.5,5.1,Hitter skill + Ballpark,True,58,0.5175,0.5175,123
124,Christian Yelich,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,5,American Family Field,88.0,5.9,Solid,4.6,4.4,5.9,4.4,5.0,6.7,6.0,73.22,9.5069763,146.0,3.6,8.4,8.9,9.2,Weather + Lineup context,True,180,0.5175,0.5175,124
125,Hao-Yu Lee,Detroit Tigers,Colorado Rockies,Mason Adams,2,Comerica Park,100.0,5.9,Solid,1.4,4.9,9.9,4.9,5.5,6.6,9.0,73.94,6.2758471,96.0,3.6,6.5,4.4,6.1,Pitcher vulnerability + Lineup context,True,161,0.5169444444444444,0.5169444444444444,125
126,Geraldo Perdomo,Arizona Diamondbacks,Texas Rangers,TBD,3,Chase Field,213.0,5.8,Solid,7.3,5.5,5.5,5.5,10.0,5.5,8.0,,,,3.6,1.4,4.1,3.2,Ballpark + Lineup context,True,71,0.5155555555555557,0.5155555555555557,126
127,Dylan Beavers,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,1,Rogers Centre,69.0,5.8,Solid,6.3,5.6,5.5,5.6,4.1,5.9,10.0,66.74000000000001,4.7845567,101.0,3.6,7.9,3.0,4.0,Lineup context + Hitter skill,True,139,0.5155555555555555,0.5155555555555555,127
128,Michael Conforto,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,8,Wrigley Field,107.0,5.8,Solid,6.4,9.8,1.5,9.8,5.8,6.7,3.0,74.3,9.5069763,124.0,8.6,8.6,4.7,5.1,Pitch-type matchup + Recent power,True,114,0.5147222222222222,0.5147222222222222,128
129,Ildemaro Vargas,Arizona Diamondbacks,Texas Rangers,TBD,1,Chase Field,213.0,5.7,Solid,7.1,5.5,5.5,5.5,10.0,5.5,10.0,,,,3.6,1.4,4.9,2.0,Ballpark + Lineup context,True,70,0.5133333333333334,0.5133333333333334,129
130,Alex Bregman,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,4,Wrigley Field,107.0,5.7,Solid,7.7,8.1,1.5,8.1,5.8,6.7,7.0,74.3,9.5069763,124.0,3.6,8.8,8.6,3.2,Pitch-type matchup + Hitter skill,True,104,0.5133333333333333,0.5133333333333333,130
131,Corey Seager,Texas Rangers,Arizona Diamondbacks,TBD,2,Chase Field,213.0,5.7,Solid,2.0,5.5,5.5,5.5,10.0,5.5,9.0,,,,9.8,8.9,9.2,8.9,Ballpark + Recent power,True,183,0.5072222222222222,0.5072222222222222,131
132,Vladimir Guerrero,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,3,Rogers Centre,69.0,5.6,Solid,5.6,6.6,3.5,6.6,4.1,5.9,8.0,66.74000000000001,4.7845567,101.0,3.6,7.0,9.0,9.4,Lineup context + Pitch-type matchup,True,201,0.5072222222222222,0.5072222222222222,132
133,Kyle Karros,Colorado Rockies,Detroit Tigers,Framber Valdez,6,Comerica Park,100.0,5.6,Solid,8.8,4.3,3.2,4.3,5.5,6.6,5.0,73.94,6.2758471,96.0,8.6,8.1,3.6,2.4,Hitter skill + Recent power,True,99,0.5066666666666667,0.5066666666666667,133
134,Adael Amador,Colorado Rockies,Detroit Tigers,Framber Valdez,7,Comerica Park,100.0,5.6,Solid,4.7,10.0,3.2,10.0,5.5,6.6,4.0,73.94,6.2758471,96.0,7.7,8.6,3.7,3.6,Pitch-type matchup + Recent power,True,143,0.5058333333333334,0.5058333333333334,134
