model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
44,Ha-Seong Kim,Atlanta Braves,Tampa Bay Rays,Nick Martinez,9,Truist Park,100,5.7,Solid,5.5,1.4,9.6,1.4,5.5,6.5,2.0,82.94,4.5981454,157.0,3.8,2.9,3.2,3.1,Pitcher vulnerability + Weather,False,0.4941666666666666,0.4941666666666666
45,Luis Arraez,Philadelphia Phillies,Houston Astros,Cristian Javier,4,Citizens Bank Park,115,5.6,Solid,4.1,3.8,8.7,3.8,6.2,6.1,7.0,87.61999999999999,10.3147586,265.0,3.8,3.2,1.4,3.4,Pitcher vulnerability + Lineup context,False,0.48694444444444446,0.48694444444444446
46,Cole Young,Seattle Mariners,Texas Rangers,Jacob deGrom,8,T-Mobile Park,37,5.4,Neutral,8.4,5.6,2.4,5.6,2.7,5.9,3.0,67.46,3.9767744,308.0,3.8,9.1,5.6,2.7,Hitter skill + Weather,True,0.48166666666666663,0.48166666666666663
47,Austin Riley,Atlanta Braves,Tampa Bay Rays,Nick Martinez,7,Truist Park,100,5.3,Neutral,2.7,2.8,9.6,2.8,5.5,6.5,4.0,82.94,4.5981454,157.0,8.8,6.0,3.6,4.2,Pitcher vulnerability + Recent power,False,0.4752777777777778,0.4752777777777778
48,Sam Antonacci,Chicago White Sox,Pittsburgh Pirates,Jared Jones,1,Rate Field,69,5.2,Neutral,5.6,5.5,5.1,5.5,4.1,5.5,10.0,,,,3.8,2.6,1.2,5.7,Lineup context + Hitter skill,True,0.4731944444444444,0.4731944444444444
49,Jonny DeLuca,Tampa Bay Rays,Atlanta Braves,Martín Pérez,4,Truist Park,100,5.1,Neutral,8.1,3.2,4.2,3.2,5.5,6.5,7.0,82.94,4.5981454,157.0,3.8,1.5,2.1,1.8,Hitter skill + Lineup context,False,0.4727777777777778,0.4727777777777778
50,Braden Montgomery,Chicago White Sox,Pittsburgh Pirates,Jared Jones,6,Rate Field,69,5.0,Neutral,6.5,3.1,5.1,3.1,4.1,5.5,5.0,,,,8.4,3.6,4.8,4.8,Recent power + Hitter skill,True,0.47,0.47
51,Taylor Trammell,Houston Astros,Philadelphia Phillies,Zack Wheeler,8,Citizens Bank Park,115,4.9,Neutral,2.8,6.7,6.9,6.7,6.2,6.1,3.0,87.61999999999999,10.3147586,265.0,3.8,6.9,5.5,6.8,Pitcher vulnerability + Pitch-type matchup,False,0.4663888888888889,0.4663888888888889
52,Chase Meidroth,Chicago White Sox,Pittsburgh Pirates,Jared Jones,8,Rate Field,69,4.8,Neutral,8.2,2.1,5.1,2.1,4.1,5.5,3.0,,,,3.8,2.6,2.7,4.3,Hitter skill + Weather,True,0.46472222222222215,0.46472222222222215
53,Rafael Marchán,Philadelphia Phillies,Houston Astros,Cristian Javier,9,Citizens Bank Park,115,4.7,Neutral,3.1,6.5,8.7,6.5,6.2,6.1,2.0,87.61999999999999,10.3147586,265.0,3.8,3.7,1.5,1.1,Pitcher vulnerability + Pitch-type matchup,False,0.46374999999999994,0.46374999999999994
54,José Caballero,New York Yankees,Colorado Rockies,Ryan Feltner,9,Yankee Stadium,117,4.6,Neutral,4.5,6.1,6.0,6.1,6.3,6.6,2.0,84.56,6.21371,311.0,8.4,3.1,3.3,1.4,Recent power + Weather,True,0.4574999999999999,0.4574999999999999
55,Hunter Goodman,Colorado Rockies,New York Yankees,Max Fried,4,Yankee Stadium,117,4.5,Below average,3.4,9.5,1.5,9.5,6.3,6.6,7.0,84.56,6.21371,311.0,7.8,9.4,8.1,7.8,Pitch-type matchup + Recent power,True,0.4506944444444444,0.4506944444444444
56,Cal Raleigh,Seattle Mariners,Texas Rangers,Jacob deGrom,4,T-Mobile Park,37,4.4,Below average,3.0,8.7,2.4,8.7,2.7,5.9,7.0,67.46,3.9767744,308.0,7.8,10.0,9.6,9.9,Pitch-type matchup + Recent power,True,0.4426388888888888,0.4426388888888888
57,Nick Gonzales,Pittsburgh Pirates,Chicago White Sox,Hagen Smith,4,Rate Field,69,4.3,Below average,8.0,3.0,3.3,3.0,4.1,5.5,7.0,,,,3.8,3.8,2.2,2.4,Hitter skill + Lineup context,True,0.44027777777777777,0.44027777777777777
58,Christian Vázquez,Houston Astros,Philadelphia Phillies,Zack Wheeler,9,Citizens Bank Park,115,4.2,Below average,4.7,4.6,6.9,4.6,6.2,6.1,2.0,87.61999999999999,10.3147586,265.0,3.8,4.4,1.6,1.2,Pitcher vulnerability + Ballpark,False,0.43916666666666665,0.43916666666666665
59,Cody Freeman,Texas Rangers,Seattle Mariners,Logan Gilbert,9,T-Mobile Park,37,4.1,Below average,4.9,2.9,7.8,2.9,2.7,5.9,2.0,67.46,3.9767744,308.0,3.8,2.3,4.9,1.3,Pitcher vulnerability + Weather,True,0.4273611111111111,0.4273611111111111
60,Logan O'Hoppe,Texas Rangers,Seattle Mariners,Logan Gilbert,7,T-Mobile Park,37,4.0,Below average,2.1,3.9,7.8,3.9,2.7,5.9,4.0,67.46,3.9767744,308.0,3.8,5.5,8.9,9.7,Pitcher vulnerability + Weather,True,0.4268055555555555,0.4268055555555555
61,Randy Arozarena,Seattle Mariners,Texas Rangers,Jacob deGrom,2,T-Mobile Park,37,3.9,Below average,6.1,5.9,2.4,5.9,2.7,5.9,9.0,67.46,3.9767744,308.0,3.8,5.7,2.3,4.9,Lineup context + Hitter skill,True,0.4245833333333333,0.4245833333333333
62,Jake McCarthy,Colorado Rockies,New York Yankees,Max Fried,1,Yankee Stadium,117,3.8,Below average,4.6,6.3,1.5,6.3,6.3,6.6,10.0,84.56,6.21371,311.0,6.6,8.0,6.8,4.5,Lineup context + Weather,True,0.4240277777777777,0.4240277777777777
